,All_Seats,Torque_force,Car_Prices,Performance,Total_speed,Horse_Power,CC
679,5.0,637.0,59865.0,6.0,210,375,17.0
680,5.0,637.0,50695.0,6.0,180,375,17.0
681,5.0,270.0,46500.0,7.0,200,240,11.0
682,5.0,270.0,44500.0,7.0,200,240,11.0
683,5.0,142.0,0.0,10.0,180,108,1500.0
684,5.0,850.0,80000.0,4.0,177,600,100.0
685,5.0,353.0,51570.0,8.0,177,285,3600.0
686,5.0,529.0,66575.0,7.0,190,357,5700.0
687,5.0,324.0,41295.0,7.0,195,271,3200.0
688,4.0,637.0,82495.0,4.0,160,470,6400.0
689,5.0,350.0,37490.0,7.0,220,235,2000.0
690,5.0,366.0,44195.0,6.0,210,310,3600.0
691,7.0,366.0,48595.0,6.0,210,310,3600.0
692,5.0,440.0,58590.0,5.0,190,340,100.0
693,7.0,885.0,149990.0,4.0,200,682,6200.0
694,7.0,624.0,104595.0,6.0,210,420,6200.0
695,5.0,893.0,92000.0,3.0,320,668,6200.0
696,5.0,603.0,60495.0,3.0,290,472,3600.0
697,5.0,350.0,41390.0,7.0,220,235,2000.0
698,5.0,366.0,51095.0,6.0,210,310,3600.0
699,7.0,366.0,57095.0,6.0,210,310,3600.0
700,5.0,440.0,59990.0,5.0,190,340,100.0
701,5.0,620.0,64990.0,4.0,210,500,100.0
702,5.0,350.0,41290.0,6.0,240,237,2000.0
703,5.0,127.0,14595.0,10.0,180,98,1400.0
704,5.0,200.0,16720.0,8.0,190,138,1400.0
705,5.0,250.0,25000.0,8.0,210,160,1500.0
706,4.0,400.0,26400.0,5.0,240,275,2000.0
707,2.0,637.0,65895.0,3.0,312,495,6200.0
708,7.0,360.0,35915.0,7.0,210,310,3600.0
709,5.0,275.0,26600.0,8.0,200,170,1500.0
710,5.0,366.0,44000.0,6.0,220,308,3600.0
711,7.0,519.0,56995.0,7.0,200,355,5300.0
712,8.0,519.0,59900.0,7.0,190,355,5300.0
713,5.0,583.0,30695.0,6.0,190,310,2700.0
714,6.0,519.0,42795.0,7.0,180,355,5300.0
715,6.0,629.0,41500.0,8.0,170,401,6600.0
716,6.0,1234.0,45500.0,8.0,160,445,6600.0
717,5.0,360.0,27495.0,6.0,150,200,66.0
718,5.0,360.0,28795.0,7.0,150,200,66.0
719,5.0,236.0,23100.0,9.0,200,155,1300.0
720,5.0,353.0,33500.0,5.0,240,250,2000.0
721,4.0,881.0,67300.0,3.0,318,650,6200.0
722,2.0,637.0,65895.0,3.0,312,495,6200.0
723,6.0,519.0,61595.0,7.0,180,355,5300.0
724,6.0,519.0,55895.0,7.0,180,355,5300.0
725,6.0,519.0,50895.0,7.0,180,355,5300.0
726,5.0,500.0,48295.0,9.0,160,181,2800.0
727,7.0,360.0,46600.0,7.0,210,310,3600.0
728,5.0,275.0,33400.0,8.0,200,170,1500.0
729,5.0,366.0,48900.0,6.0,220,308,3600.0
730,5.0,360.0,28795.0,6.0,150,200,66.0
731,4.0,617.0,43500.0,4.0,290,455,6200.0
732,2.0,630.0,65900.0,3.0,290,460,6200.0
733,7.0,360.0,43700.0,7.0,210,310,3600.0
734,5.0,366.0,45000.0,6.0,220,308,3600.0
735,5.0,250.0,25800.0,8.0,210,160,1500.0
736,5.0,127.0,17595.0,11.0,180,98,1400.0
737,5.0,220.0,24100.0,9.0,200,137,1200.0
738,5.0,275.0,28400.0,8.0,200,170,1500.0
739,6.0,1234.0,75700.0,8.0,160,445,6600.0
740,5.0,583.0,29200.0,6.0,190,310,2700.0
741,8.0,624.0,82400.0,7.0,200,420,6200.0
742,6.0,413.0,33900.0,8.0,180,285,4300.0
743,5.0,127.0,14395.0,10.0,180,98,1400.0
744,7.0,360.0,37200.0,7.0,210,310,3600.0
745,5.0,255.0,36100.0,9.0,200,193,2500.0
746,5.0,353.0,34500.0,5.0,240,250,2000.0
747,5.0,275.0,31900.0,8.0,200,170,1500.0
748,6.0,413.0,34900.0,8.0,180,285,4300.0
749,6.0,1234.0,56400.0,8.0,160,445,6600.0
750,7.0,519.0,64100.0,7.0,180,355,5300.0
751,8.0,519.0,64400.0,5.0,180,355,5300.0
752,5.0,360.0,31700.0,6.0,150,200,66.0
753,8.0,519.0,56995.0,7.0,180,355,5300.0
754,8.0,519.0,62495.0,7.0,180,355,5300.0
756,7.0,519.0,66700.0,7.0,180,355,5300.0
757,7.0,624.0,71600.0,6.0,200,420,6200.0
758,7.0,624.0,76700.0,6.0,200,420,6200.0
